The cumulative induced charge.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns]
0,-2.367013262957011612e-05,0,-2.367013262957011612e-05
0.02000000000000000042,-3.492882544271806521e-05,0,-3.492882544271806521e-05
0.04000000000000000083,-1.705501279810934203e-05,0,-1.705501279810934203e-05
0.05999999999999999778,-1.860685931655485815e-05,0,-1.860685931655485815e-05
0.08000000000000000167,-6.240299687356172889e-05,0,-6.240299687356172889e-05
0.1000000000000000056,-4.842587790546439404e-05,0,-4.842587790546439404e-05
0.1199999999999999956,-6.461584093684879225e-05,0,-6.461584093684879225e-05
0.1400000000000000133,-9.932726920560101412e-05,0,-9.932726920560101412e-05
0.1600000000000000033,-0.0001366666602121850748,0,-0.0001366666602121850748
0.1799999999999999933,-0.0001930022645410972321,0,-0.0001930022645410972321
0.2000000000000000111,-0.0002330994154251928474,0,-0.0002330994154251928474
0.2200000000000000011,-0.0002961587159288915617,0,-0.0002961587159288915617
0.2399999999999999911,-0.0003432106315688574221,0,-0.0003432106315688574221
0.2600000000000000089,-0.0004243529610531603037,0,-0.0004243529610531603037
0.2800000000000000266,-0.0004668134355695910333,0,-0.0004668134355695910333
0.2999999999999999889,-0.0005011845956726553031,0,-0.0005011845956726553031
0.3200000000000000067,-0.0005678153349508835955,0,-0.0005678153349508835955
0.3400000000000000244,-0.0007184392888196369049,0,-0.0007184392888196369049
0.3599999999999999867,-0.0008428638393706938377,0,-0.0008428638393706938377
0.3800000000000000044,-0.0009465151211142326703,0,-0.0009465151211142326703
0.4000000000000000222,-0.001068339435287832219,0,-0.001068339435287832219
0.4199999999999999845,-0.001228081581864256871,0,-0.001228081581864256871
0.4400000000000000022,-0.001332857124890198018,0,-0.001332857124890198018
0.46000000000000002,-0.001483529782568997375,0,-0.001483529782568997375
0.4799999999999999822,-0.001667378461573759641,0,-0.001667378461573759641
0.5,-0.001881705915146788437,0,-0.001881705915146788437
0.5200000000000000178,-0.002107909919547517816,0,-0.002107909919547517816
0.5400000000000000355,-0.002326226847830758105,0,-0.002326226847830758105
0.5600000000000000533,-0.002574245488593724686,0,-0.002574245488593724686
0.57999999999999996,-0.002914669149149584984,0,-0.002914669149149584984
0.5999999999999999778,-0.003125766997869806624,0,-0.003125766997869806624
0.6199999999999999956,-0.003460454111016902229,0,-0.003460454111016902229
0.6400000000000000133,-0.003858069973617352967,0,-0.003858069973617352967
0.6600000000000000311,-0.004283091855221661873,0,-0.004283091855221661873
0.6800000000000000488,-0.004934205668238851074,0,-0.004934205668238851074
0.7000000000000000666,-0.00565751868846654099,0,-0.00565751868846654099
0.7199999999999999734,-0.006396302935797358417,0,-0.006396302935797358417
0.7399999999999999911,-0.007181867359218586065,0,-0.007181867359218586065
0.7600000000000000089,-0.007839535300824564817,0,-0.007839535300824564817
0.7800000000000000266,-0.008546447316242900341,0,-0.008546447316242900341
0.8000000000000000444,-0.009459645403108308051,0,-0.009459645403108308051
0.8200000000000000622,-0.01058978759820742785,0,-0.01058978759820742785
0.8399999999999999689,-0.01197087204778039468,0,-0.01197087204778039468
0.8599999999999999867,-0.01344421434749321596,0,-0.01344421434749321596
0.8800000000000000044,-0.01492845717023545508,0,-0.01492845717023545508
0.9000000000000000222,-0.01678175405039271373,0,-0.01678175405039271373
0.92000000000000004,-0.01858556461987786318,0,-0.01858556461987786318
0.9400000000000000577,-0.02118511690189662372,0,-0.02118511690189662372
0.9599999999999999645,-0.0242025655786315616,0,-0.0242025655786315616
0.9799999999999999822,-0.02679651864420630122,0,-0.02679651864420630122
1,-0.02951910526167652801,0,-0.02951910526167652801
1.020000000000000018,-0.03253847339280889484,0,-0.03253847339280889484
1.040000000000000036,-0.03566236977539345016,0,-0.03566236977539345016
1.060000000000000053,-0.03959534897831434169,0,-0.03959534897831434169
1.080000000000000071,-0.04421897295041362502,0,-0.04421897295041362502
1.100000000000000089,-0.049250048376922477,0,-0.049250048376922477
1.120000000000000107,-0.05544539611626403408,0,-0.05544539611626403408
1.140000000000000124,-0.06225097179582014806,0,-0.06225097179582014806
1.15999999999999992,-0.06952131580737327954,0,-0.06952131580737327954
1.179999999999999938,-0.07602489011117237461,0,-0.07602489011117237461
1.199999999999999956,-0.01320529207211365227,0,-0.01320529207211365227
1.219999999999999973,0,0,0
1.239999999999999991,0,0,0
1.260000000000000009,0,0,0
1.280000000000000027,0,0,0
1.300000000000000044,0,0,0
1.320000000000000062,0,0,0
1.34000000000000008,0,0,0
1.360000000000000098,0,0,0
1.380000000000000115,0,0,0
1.400000000000000133,0,0,0
1.419999999999999929,0,0,0
1.439999999999999947,0,0,0
1.459999999999999964,0,0,0
1.479999999999999982,0,0,0
1.5,0,0,0
1.520000000000000018,0,0,0
1.540000000000000036,0,0,0
1.560000000000000053,0,0,0
1.580000000000000071,0,0,0
1.600000000000000089,0,0,0
1.620000000000000107,0,0,0
1.640000000000000124,0,0,0
1.660000000000000142,0,0,0
1.679999999999999938,0,0,0
1.699999999999999956,0,0,0
1.719999999999999973,0,0,0
1.739999999999999991,0,0,0
1.760000000000000009,0,0,0
1.780000000000000027,0,0,0
1.800000000000000044,0,0,0
1.820000000000000062,0,0,0
1.84000000000000008,0,0,0
1.860000000000000098,0,0,0
1.880000000000000115,0,0,0
1.900000000000000133,0,0,0
1.919999999999999929,0,0,0
1.939999999999999947,0,0,0
1.959999999999999964,0,0,0
1.979999999999999982,0,0,0
2,0,0,0
2.020000000000000018,0,0,0
2.040000000000000036,0,0,0
2.060000000000000053,0,0,0
2.080000000000000071,0,0,0
2.100000000000000089,0,0,0
2.120000000000000107,0,0,0
2.140000000000000124,0,0,0
2.160000000000000142,0,0,0
2.18000000000000016,0,0,0
2.200000000000000178,0,0,0
2.220000000000000195,0,0,0
2.240000000000000213,0,0,0
2.260000000000000231,0,0,0
2.280000000000000249,0,0,0
2.300000000000000266,0,0,0
2.31999999999999984,0,0,0
2.339999999999999858,0,0,0
2.359999999999999876,0,0,0
2.379999999999999893,0,0,0
2.399999999999999911,0,0,0
2.419999999999999929,0,0,0
2.439999999999999947,0,0,0
2.459999999999999964,0,0,0
2.479999999999999982,0,0,0
2.5,0,0,0
2.520000000000000018,0,0,0
2.540000000000000036,0,0,0
2.560000000000000053,0,0,0
2.580000000000000071,0,0,0
2.600000000000000089,0,0,0
2.620000000000000107,0,0,0
2.640000000000000124,0,0,0
2.660000000000000142,0,0,0
2.68000000000000016,0,0,0
2.700000000000000178,0,0,0
2.720000000000000195,0,0,0
2.740000000000000213,0,0,0
2.760000000000000231,0,0,0
2.780000000000000249,0,0,0
2.800000000000000266,0,0,0
2.81999999999999984,0,0,0
2.839999999999999858,0,0,0
2.859999999999999876,0,0,0
2.879999999999999893,0,0,0
2.899999999999999911,0,0,0
2.919999999999999929,0,0,0
2.939999999999999947,0,0,0
2.959999999999999964,0,0,0
2.979999999999999982,0,0,0
3,0,0,0
3.020000000000000018,0,0,0
3.040000000000000036,0,0,0
3.060000000000000053,0,0,0
3.080000000000000071,0,0,0
3.100000000000000089,0,0,0
3.120000000000000107,0,0,0
3.140000000000000124,0,0,0
3.160000000000000142,0,0,0
3.18000000000000016,0,0,0
3.200000000000000178,0,0,0
3.220000000000000195,0,0,0
3.240000000000000213,0,0,0
3.260000000000000231,0,0,0
3.280000000000000249,0,0,0
3.300000000000000266,0,0,0
3.320000000000000284,0,0,0
3.339999999999999858,0,0,0
3.359999999999999876,0,0,0
3.379999999999999893,0,0,0
3.399999999999999911,0,0,0
3.419999999999999929,0,0,0
3.439999999999999947,0,0,0
3.459999999999999964,0,0,0
3.479999999999999982,0,0,0
3.5,0,0,0
3.520000000000000018,0,0,0
3.540000000000000036,0,0,0
3.560000000000000053,0,0,0
3.580000000000000071,0,0,0
3.600000000000000089,0,0,0
3.620000000000000107,0,0,0
3.640000000000000124,0,0,0
3.660000000000000142,0,0,0
3.68000000000000016,0,0,0
3.700000000000000178,0,0,0
3.720000000000000195,0,0,0
3.740000000000000213,0,0,0
3.760000000000000231,0,0,0
3.780000000000000249,0,0,0
3.800000000000000266,0,0,0
3.820000000000000284,0,0,0
3.839999999999999858,0,0,0
3.859999999999999876,0,0,0
3.879999999999999893,0,0,0
3.899999999999999911,0,0,0
3.919999999999999929,0,0,0
3.939999999999999947,0,0,0
3.959999999999999964,0,0,0
3.979999999999999982,0,0,0
