The induced signal.
Time [ns],Total Prompt [fC],Total Delayed [fC], Total Charge [fC]
0,-1.471766303857995551e-06,0,-1.471766303857995551e-06
0.02000000000000000042,-3.250819990119670673e-06,0,-3.250819990119670673e-06
0.04000000000000000083,-5.058443437549495312e-06,0,-5.058443437549495312e-06
0.05999999999999999778,-6.617730473947323423e-06,0,-6.617730473947323423e-06
0.08000000000000000167,-7.71230324807550004e-06,0,-7.71230324807550004e-06
0.1000000000000000056,-9.560779537468194709e-06,0,-9.560779537468194709e-06
0.1199999999999999956,-1.184765767046211498e-05,0,-1.184765767046211498e-05
0.1400000000000000133,-1.449994165206403884e-05,0,-1.449994165206403884e-05
0.1600000000000000033,-1.748649002819882323e-05,0,-1.748649002819882323e-05
0.1799999999999999933,-2.100332365563008672e-05,0,-2.100332365563008672e-05
0.2000000000000000111,-2.503251262755242366e-05,0,-2.503251262755242366e-05
0.2200000000000000011,-2.899853227122326107e-05,0,-2.899853227122326107e-05
0.2399999999999999911,-3.295479359500830149e-05,0,-3.295479359500830149e-05
0.2600000000000000089,-3.757506342752631157e-05,0,-3.757506342752631157e-05
0.2800000000000000266,-4.28724431800749667e-05,0,-4.28724431800749667e-05
0.2999999999999999889,-4.919223747616076488e-05,0,-4.919223747616076488e-05
0.3200000000000000067,-5.667728623854995871e-05,0,-5.667728623854995871e-05
0.3400000000000000244,-6.523024688900016718e-05,0,-6.523024688900016718e-05
0.3599999999999999867,-7.526292188848171657e-05,0,-7.526292188848171657e-05
0.3800000000000000044,-8.668907778134035181e-05,0,-8.668907778134035181e-05
0.4000000000000000222,-9.863269146410735344e-05,0,-9.863269146410735344e-05
0.4199999999999999845,-0.0001115721405591384743,0,-0.0001115721405591384743
0.4400000000000000022,-0.0001262463902401292706,0,-0.0001262463902401292706
0.46000000000000002,-0.0001425622708009584207,0,-0.0001425622708009584207
0.4799999999999999822,-0.0001599240034911513062,0,-0.0001599240034911513062
0.5,-0.0001802179555262665219,0,-0.0001802179555262665219
0.5200000000000000178,-0.00020314410303563305,0,-0.00020314410303563305
0.5400000000000000355,-0.000228932771214980464,0,-0.000228932771214980464
0.5600000000000000533,-0.0002581590852926099358,0,-0.0002581590852926099358
0.57999999999999996,-0.0002921857402801755744,0,-0.0002921857402801755744
0.5999999999999999778,-0.0003310715007864398251,0,-0.0003310715007864398251
0.6199999999999999956,-0.0003750933119229150231,0,-0.0003750933119229150231
0.6400000000000000133,-0.0004246560475659789686,0,-0.0004246560475659789686
0.6600000000000000311,-0.0004823273586716753732,0,-0.0004823273586716753732
0.6800000000000000488,-0.0005459653172356678918,0,-0.0005459653172356678918
0.7000000000000000666,-0.0006172693030253290471,0,-0.0006172693030253290471
0.7199999999999999734,-0.0006985528958131683981,0,-0.0006985528958131683981
0.7399999999999999911,-0.0007916489160239448958,0,-0.0007916489160239448958
0.7600000000000000089,-0.0008963966396616863995,0,-0.0008963966396616863995
0.7800000000000000266,-0.001013967339016149088,0,-0.001013967339016149088
0.8000000000000000444,-0.001146505097199676179,0,-0.001146505097199676179
0.8200000000000000622,-0.001296128866598386057,0,-0.001296128866598386057
0.8399999999999999689,-0.001464113583168876864,0,-0.001464113583168876864
0.8599999999999999867,-0.001651432540315035322,0,-0.001651432540315035322
0.8800000000000000044,-0.001858665331068728001,0,-0.001858665331068728001
0.9000000000000000222,-0.002091077519897088701,0,-0.002091077519897088701
0.92000000000000004,-0.00235383881428475163,0,-0.00235383881428475163
0.9400000000000000577,-0.002650649729823087528,0,-0.002650649729823087528
0.9599999999999999645,-0.002982337394092334556,0,-0.002982337394092334556
0.9799999999999999822,-0.003355548596020847558,0,-0.003355548596020847558
1,-0.003774085118807498935,0,-0.003774085118807498935
1.020000000000000018,-0.00424266639849379696,0,-0.00424266639849379696
1.040000000000000036,-0.004765278214774501531,0,-0.004765278214774501531
1.060000000000000053,-0.005353126936305484251,0,-0.005353126936305484251
1.080000000000000071,-0.0060138899754159569,0,-0.0060138899754159569
1.100000000000000089,-0.006750154154895627104,0,-0.006750154154895627104
1.120000000000000107,-0.007577393196638018344,0,-0.007577393196638018344
1.140000000000000124,-0.008499867894222825487,0,-0.008499867894222825487
1.15999999999999992,-0.009528089902403735073,0,-0.009528089902403735073
1.179999999999999938,-0.01068147112487853601,0,-0.01068147112487853601
1.199999999999999956,-0.01197025951753059696,0,-0.01197025951753059696
1.219999999999999973,-0.01342251081340038038,0,-0.01342251081340038038
1.239999999999999991,-0.0150524025185622707,0,-0.0150524025185622707
1.260000000000000009,-0.0168578942905119912,0,-0.0168578942905119912
1.280000000000000027,-0.01884866354423806942,0,-0.01884866354423806942
1.300000000000000044,-0.02098817169588799991,0,-0.02098817169588799991
1.320000000000000062,-0.02309706873294941828,0,-0.02309706873294941828
1.34000000000000008,-0.0254543161528729342,0,-0.0254543161528729342
1.360000000000000098,-0.0280845245612471664,0,-0.0280845245612471664
1.380000000000000115,-0.03033085592680077533,0,-0.03033085592680077533
1.400000000000000133,-0.03257753687678318494,0,-0.03257753687678318494
1.419999999999999929,-0.03446949013268717915,0,-0.03446949013268717915
1.439999999999999947,-0.03500402930662134537,0,-0.03500402930662134537
1.459999999999999964,-0.03559535408104551324,0,-0.03559535408104551324
